index,filename,source,config,chi,x,y,einsteinR,sigma,sigma2,theta,nterms
"ss15",roulette-sis-t15.png,t,fs,50,-20, -3,48,27,0,115,16
"s021",raytrace-sis-s021.png,s,rs,50, 24,-68,48,21,0,0,16
"s022",raytrace-sis-s022.png,s,rs,50, 35,-29, 3,43,0,0,16
"s023",raytrace-sis-s023.png,s,rs,50, 57,-47,50,47,0,0,16
"s024",raytrace-sis-s024.png,s,rs,50,-60,-50,25, 5,0,0,16
"s025",raytrace-sis-s025.png,s,rs,50,-20, -3,48,27,0,0,16
"s026",raytrace-sis-s026.png,s,rs,50,-30,-25,20,20,0,0,16
"f021",raytrace-sis-t021.png,t,rs,50, 24,-68,48,21,0,0,16
"f022",raytrace-sis-t022.png,t,rs,50, 35,-29, 3,43,0,0,16
"f023",raytrace-sis-t023.png,t,rs,50, 57,-47,50,47,0,0,16
"f024",raytrace-sis-t024.png,t,rs,50,-60,-50,25, 5,0,0,16
"f025",raytrace-sis-t025.png,t,rs,50,-20, -3,48,27,0,0,16
"f026",raytrace-sis-t026.png,t,rs,50,-30,-25,20,20,0,0,16
