index,filename,source,lens,chi,x,y,einsteinR,sigma,sigma2,theta,nterms
"0063",image-0063.png,s,p,67,54,-23,21,27,0,0,16
"0064",image-0064.png,s,p,57,16,-2,4,37,0,0,16
"0065",image-0065.png,s,p,63,50,-124,44,12,0,0,16
"0066",image-0066.png,s,p,52,8,-94,25,22,0,0,16
"0067",image-0067.png,s,p,46,116,-55,19,62,0,0,16
"0068",image-0068.png,s,p,34,101,-8,22,52,0,0,16
"0069",image-0069.png,s,p,53,57,-124,15,46,0,0,16
"0070",image-0070.png,s,p,52,115,-111,24,36,0,0,16
"0071",image-0071.png,s,p,40,30,62,32,70,0,0,16
"0072",image-0072.png,s,p,55,-69,-50,35,12,0,0,16
"0073",image-0073.png,s,p,37,49,-20,47,41,0,0,16
"0074",image-0074.png,s,p,67,-73,26,39,38,0,0,16
"0075",image-0075.png,s,p,44,-66,-73,18,42,0,0,16
"0076",image-0076.png,s,p,54,68,-25,31,38,0,0,16
"0077",image-0077.png,s,p,41,-79,-44,6,29,0,0,16
"0078",image-0078.png,s,p,55,114,-110,16,27,0,0,16
"0079",image-0079.png,s,p,53,108,93,50,62,0,0,16
"0080",image-0080.png,s,p,63,-78,-69,47,18,0,0,16
"0081",image-0081.png,s,p,53,41,30,50,33,0,0,16
"0082",image-0082.png,s,p,33,94,38,35,45,0,0,16
"0083",image-0083.png,s,p,30,-9,119,7,10,0,0,16
"0084",image-0084.png,s,p,36,57,-39,50,7,0,0,16
"0085",image-0085.png,s,p,64,-63,-14,26,26,0,0,16
"0086",image-0086.png,s,p,56,-84,56,31,31,0,0,16
"0087",image-0087.png,s,p,39,57,-74,43,40,0,0,16
"0088",image-0088.png,s,p,63,-54,-121,30,4,0,0,16
"0089",image-0089.png,s,p,37,-61,11,50,1,0,0,16
"0090",image-0090.png,s,p,46,84,109,49,46,0,0,16
"0091",image-0091.png,s,p,43,28,-23,29,3,0,0,16
"0092",image-0092.png,s,p,37,43,40,38,61,0,0,16
"0093",image-0093.png,s,p,50,-94,-66,20,24,0,0,16
"0094",image-0094.png,s,p,53,68,-53,3,26,0,0,16
"0095",image-0095.png,s,p,66,70,99,13,60,0,0,16
"0096",image-0096.png,s,p,54,24,110,50,55,0,0,16
"0097",image-0097.png,s,p,67,-96,-21,34,4,0,0,16
"0098",image-0098.png,s,p,47,67,9,5,47,0,0,16
"0099",image-0099.png,s,p,50,34,1,45,19,0,0,16
"0100",image-0100.png,s,p,39,-104,-3,24,52,0,0,16
"0101",image-0101.png,s,p,42,113,88,18,6,0,0,16
"0102",image-0102.png,s,p,56,-32,14,42,11,0,0,16
"0103",image-0103.png,s,p,51,-44,-53,23,1,0,0,16
"0104",image-0104.png,s,p,36,-27,59,49,31,0,0,16
"0105",image-0105.png,s,p,50,-80,9,21,29,0,0,16
"0106",image-0106.png,s,p,64,40,-17,17,64,0,0,16
"0107",image-0107.png,s,p,56,-90,11,9,11,0,0,16
"0108",image-0108.png,s,p,66,-109,97,49,57,0,0,16
"0109",image-0109.png,s,p,56,123,-78,27,11,0,0,16
"0110",image-0110.png,s,p,35,-95,120,36,46,0,0,16
"0111",image-0111.png,s,p,69,109,118,48,42,0,0,16
"0112",image-0112.png,s,p,40,0,13,7,5,0,0,16
"0113",image-0113.png,s,p,69,-7,-91,16,70,0,0,16
"0114",image-0114.png,s,p,40,-82,51,24,38,0,0,16
"0115",image-0115.png,s,p,38,-104,-108,47,68,0,0,16
"0116",image-0116.png,s,p,59,102,-64,13,25,0,0,16
"0117",image-0117.png,s,p,50,69,-50,34,61,0,0,16
"0118",image-0118.png,s,p,44,32,-11,14,67,0,0,16
"0119",image-0119.png,s,p,46,-67,-3,37,53,0,0,16
"0120",image-0120.png,s,p,60,54,-73,14,52,0,0,16
"0121",image-0121.png,s,p,45,-39,-52,18,3,0,0,16
"0122",image-0122.png,s,p,53,33,-122,3,10,0,0,16
"0123",image-0123.png,s,p,36,22,108,41,31,0,0,16
"0124",image-0124.png,s,p,58,-11,-41,40,35,0,0,16
"0125",image-0125.png,s,p,50,3,-82,33,7,0,0,16
"0126",image-0126.png,s,p,58,9,-106,16,11,0,0,16
"0127",image-0127.png,s,p,32,-82,-60,29,39,0,0,16
"0128",image-0128.png,s,p,62,-91,13,37,22,0,0,16
"0129",image-0129.png,s,p,32,25,-86,28,53,0,0,16
"0130",image-0130.png,s,p,39,-54,-93,11,31,0,0,16
"0131",image-0131.png,s,p,36,-66,11,23,61,0,0,16
"0132",image-0132.png,s,p,47,8,34,32,3,0,0,16
"0133",image-0133.png,s,p,48,-80,98,10,42,0,0,16
"0134",image-0134.png,s,p,52,-42,104,49,6,0,0,16
"0135",image-0135.png,s,p,70,-31,-1,12,15,0,0,16
"0136",image-0136.png,s,p,41,-113,-77,5,63,0,0,16
"0137",image-0137.png,s,p,35,3,-1,6,31,0,0,16
"0138",image-0138.png,s,p,56,43,6,33,12,0,0,16
"0139",image-0139.png,s,p,50,-80,41,38,25,0,0,16
"0140",image-0140.png,s,p,50,-21,-117,28,37,0,0,16
"0141",image-0141.png,s,p,40,-38,-16,14,46,0,0,16
"0142",image-0142.png,s,p,67,7,-77,40,26,0,0,16
"0143",image-0143.png,s,p,31,-57,-102,19,48,0,0,16
"0144",image-0144.png,s,p,65,66,-86,24,33,0,0,16
"0145",image-0145.png,s,p,70,86,2,45,53,0,0,16
"0146",image-0146.png,s,p,46,94,105,11,47,0,0,16
"0147",image-0147.png,s,p,39,-29,-81,22,70,0,0,16
"0148",image-0148.png,s,p,50,-6,-62,30,44,0,0,16
"0149",image-0149.png,s,p,45,0,-123,21,50,0,0,16
"0150",image-0150.png,s,p,61,-117,-12,40,46,0,0,16
"0151",image-0151.png,s,p,64,-46,-61,2,53,0,0,16
"0152",image-0152.png,s,p,53,-7,15,47,2,0,0,16
"0153",image-0153.png,s,p,50,124,23,50,55,0,0,16
"0154",image-0154.png,s,p,47,82,120,50,8,0,0,16
"0155",image-0155.png,s,p,45,-67,13,38,41,0,0,16
"0156",image-0156.png,s,p,48,-48,103,27,69,0,0,16
"0157",image-0157.png,s,p,66,-38,-9,50,5,0,0,16
"0158",image-0158.png,s,p,36,80,91,48,27,0,0,16
"0159",image-0159.png,s,p,44,-96,42,22,41,0,0,16
"0160",image-0160.png,s,p,65,-100,100,43,10,0,0,16
"0161",image-0161.png,s,p,58,-86,-85,43,23,0,0,16
"0162",image-0162.png,s,p,55,106,49,25,19,0,0,16
"0163",image-0163.png,s,p,69,112,6,2,47,0,0,16
"0164",image-0164.png,s,p,68,29,-4,37,16,0,0,16
"0165",image-0165.png,s,p,66,108,34,28,33,0,0,16
"0166",image-0166.png,s,p,38,81,70,23,20,0,0,16
"0167",image-0167.png,s,p,53,-28,41,16,36,0,0,16
"0168",image-0168.png,s,p,33,-90,-29,42,16,0,0,16
"0169",image-0169.png,s,p,47,106,-26,32,54,0,0,16
"0170",image-0170.png,s,p,58,-99,-73,10,5,0,0,16
"0171",image-0171.png,s,p,57,-45,-70,22,31,0,0,16
"0172",image-0172.png,s,p,54,48,63,40,57,0,0,16
"0173",image-0173.png,s,p,34,-2,88,6,26,0,0,16
"0174",image-0174.png,s,p,51,-67,47,46,37,0,0,16
"0175",image-0175.png,s,p,46,8,33,28,57,0,0,16
"0176",image-0176.png,s,p,49,78,-62,17,42,0,0,16
"0177",image-0177.png,s,p,49,121,-45,44,36,0,0,16
"0178",image-0178.png,s,p,35,-49,103,31,59,0,0,16
"0179",image-0179.png,s,p,57,36,-17,48,11,0,0,16
"0180",image-0180.png,s,p,39,90,101,15,49,0,0,16
"0181",image-0181.png,s,p,52,22,-18,43,14,0,0,16
"0182",image-0182.png,s,p,45,74,96,44,20,0,0,16
"0183",image-0183.png,s,p,41,58,35,49,9,0,0,16
"0184",image-0184.png,s,p,34,-25,-13,1,1,0,0,16
"0185",image-0185.png,s,p,64,119,-72,34,6,0,0,16
"0186",image-0186.png,s,p,36,-46,-22,11,45,0,0,16
"0187",image-0187.png,s,p,41,63,43,44,63,0,0,16
"0188",image-0188.png,s,p,45,35,101,45,29,0,0,16
"0189",image-0189.png,s,p,64,-120,-10,44,1,0,0,16
"0190",image-0190.png,s,p,67,67,109,33,34,0,0,16
"0191",image-0191.png,s,p,66,-51,-95,37,15,0,0,16
"0192",image-0192.png,s,p,65,-47,57,2,52,0,0,16
"0193",image-0193.png,s,p,34,56,53,5,41,0,0,16
"0194",image-0194.png,s,p,36,-5,-33,26,18,0,0,16
"0195",image-0195.png,s,p,30,44,13,21,18,0,0,16
"0196",image-0196.png,s,p,65,-41,22,30,18,0,0,16
"0197",image-0197.png,s,p,35,-73,-73,7,18,0,0,16
"0198",image-0198.png,s,p,52,-29,-20,6,36,0,0,16
"0199",image-0199.png,s,p,50,1,22,34,19,0,0,16
"0200",image-0200.png,s,p,45,-24,79,9,9,0,0,16
"0201",image-0201.png,s,p,63,65,30,28,25,0,0,16
"0202",image-0202.png,s,p,33,19,-25,48,26,0,0,16
"0203",image-0203.png,s,p,45,33,20,33,65,0,0,16
"0204",image-0204.png,s,p,64,-31,-27,28,19,0,0,16
"0205",image-0205.png,s,p,64,108,-62,49,37,0,0,16
"0206",image-0206.png,s,p,43,-92,112,36,55,0,0,16
"0207",image-0207.png,s,p,33,-3,-53,20,51,0,0,16
"0208",image-0208.png,s,p,52,75,-59,15,5,0,0,16
"0209",image-0209.png,s,p,38,2,86,43,68,0,0,16
"0210",image-0210.png,s,p,48,-35,35,31,29,0,0,16
"0211",image-0211.png,s,p,52,-93,-88,25,18,0,0,16
"0212",image-0212.png,s,p,33,-114,76,47,39,0,0,16
"0213",image-0213.png,s,p,56,69,-20,1,56,0,0,16
"0214",image-0214.png,s,p,50,-10,-66,19,45,0,0,16
"0215",image-0215.png,s,p,38,-108,-21,31,25,0,0,16
"0216",image-0216.png,s,p,34,-111,-26,50,60,0,0,16
"0217",image-0217.png,s,p,30,120,-15,10,69,0,0,16
"0218",image-0218.png,s,p,57,-88,47,32,19,0,0,16
"0219",image-0219.png,s,p,56,114,-103,3,21,0,0,16
"0220",image-0220.png,s,p,39,-57,57,21,26,0,0,16
"0221",image-0221.png,s,p,68,32,-107,20,69,0,0,16
"0222",image-0222.png,s,p,59,91,94,25,15,0,0,16
"0223",image-0223.png,s,p,42,30,-60,33,69,0,0,16
"0224",image-0224.png,s,p,51,-54,41,48,14,0,0,16
"0225",image-0225.png,s,p,65,29,29,35,16,0,0,16
"0226",image-0226.png,s,p,48,60,-102,17,27,0,0,16
"0227",image-0227.png,s,p,64,124,-31,8,31,0,0,16
"0228",image-0228.png,s,p,33,73,62,8,56,0,0,16
"0229",image-0229.png,s,p,64,-34,-81,37,14,0,0,16
"0230",image-0230.png,s,p,62,92,124,2,47,0,0,16
"0231",image-0231.png,s,p,66,-123,78,21,35,0,0,16
"0232",image-0232.png,s,p,59,-49,93,48,3,0,0,16
"0233",image-0233.png,s,p,58,59,-43,8,49,0,0,16
"0234",image-0234.png,s,p,41,72,47,22,3,0,0,16
"0235",image-0235.png,s,p,30,78,79,17,24,0,0,16
"0236",image-0236.png,s,p,69,84,-67,43,62,0,0,16
"0237",image-0237.png,s,p,44,-41,31,34,56,0,0,16
"0238",image-0238.png,s,p,50,122,-116,28,12,0,0,16
"0239",image-0239.png,s,p,57,52,-3,23,3,0,0,16
"0240",image-0240.png,s,p,55,-35,72,42,1,0,0,16
"0241",image-0241.png,s,p,44,-55,-72,1,9,0,0,16
"0242",image-0242.png,s,p,49,-39,93,6,64,0,0,16
"0243",image-0243.png,s,p,58,-36,-122,1,53,0,0,16
"0244",image-0244.png,s,p,59,-19,96,17,68,0,0,16
"0245",image-0245.png,s,p,56,-29,-55,17,44,0,0,16
"0246",image-0246.png,s,p,58,-123,-72,46,45,0,0,16
"0247",image-0247.png,s,p,55,37,-39,7,27,0,0,16
"0248",image-0248.png,s,p,43,-37,-18,11,35,0,0,16
"0249",image-0249.png,s,p,33,67,78,12,70,0,0,16
"0250",image-0250.png,s,p,65,48,-65,20,63,0,0,16
"0251",image-0251.png,s,p,65,8,-85,19,37,0,0,16
"0252",image-0252.png,s,p,41,-125,-55,17,55,0,0,16
"0253",image-0253.png,s,p,70,94,-59,15,23,0,0,16
"0254",image-0254.png,s,p,46,-74,-84,4,17,0,0,16
"0255",image-0255.png,s,p,66,83,100,46,50,0,0,16
"0256",image-0256.png,s,p,69,-64,121,1,39,0,0,16
"0257",image-0257.png,s,p,30,-82,17,5,49,0,0,16
"0258",image-0258.png,s,p,36,13,106,14,31,0,0,16
"0259",image-0259.png,s,p,44,-15,-15,22,28,0,0,16
"0260",image-0260.png,s,p,30,119,-89,25,10,0,0,16
"0261",image-0261.png,s,p,43,-78,-116,7,12,0,0,16
"0262",image-0262.png,s,p,53,81,121,29,4,0,0,16
"0263",image-0263.png,s,p,63,43,-61,40,43,0,0,16
"0264",image-0264.png,s,p,31,24,67,19,26,0,0,16
"0265",image-0265.png,s,p,55,51,-101,48,23,0,0,16
"0266",image-0266.png,s,p,69,56,-70,11,60,0,0,16
"0267",image-0267.png,s,p,34,-84,-48,10,67,0,0,16
"0268",image-0268.png,s,p,54,-77,21,26,28,0,0,16
"0269",image-0269.png,s,p,62,-37,66,25,69,0,0,16
"0270",image-0270.png,s,p,65,-78,-53,4,30,0,0,16
"0271",image-0271.png,s,p,32,32,-36,45,53,0,0,16
"0272",image-0272.png,s,p,33,-13,96,27,16,0,0,16
"0273",image-0273.png,s,p,61,27,-36,11,67,0,0,16
"0274",image-0274.png,s,p,62,66,91,31,11,0,0,16
"0275",image-0275.png,s,p,46,108,46,1,29,0,0,16
"0276",image-0276.png,s,p,54,-76,119,3,1,0,0,16
"0277",image-0277.png,s,p,41,119,125,35,33,0,0,16
"0278",image-0278.png,s,p,70,-48,37,30,15,0,0,16
"0279",image-0279.png,s,p,45,-3,9,25,54,0,0,16
"0280",image-0280.png,s,p,59,1,-11,9,31,0,0,16
"0281",image-0281.png,s,p,46,63,118,26,21,0,0,16
"0282",image-0282.png,s,p,44,5,4,4,10,0,0,16
"0283",image-0283.png,s,p,61,-15,102,2,8,0,0,16
"0284",image-0284.png,s,p,40,96,122,49,50,0,0,16
"0285",image-0285.png,s,p,31,-75,-69,1,26,0,0,16
"0286",image-0286.png,s,p,37,65,-14,26,41,0,0,16
"0287",image-0287.png,s,p,48,-97,-84,25,22,0,0,16
"0288",image-0288.png,s,p,68,-13,-81,29,65,0,0,16
"0289",image-0289.png,s,p,56,6,-56,42,44,0,0,16
"0290",image-0290.png,s,p,36,92,-91,2,50,0,0,16
"0291",image-0291.png,s,p,48,-28,-116,8,65,0,0,16
"0292",image-0292.png,s,p,33,-75,-4,31,35,0,0,16
"0293",image-0293.png,s,p,58,-46,-103,2,16,0,0,16
"0294",image-0294.png,s,p,53,76,-102,18,24,0,0,16
"0295",image-0295.png,s,p,60,104,-94,12,34,0,0,16
"0296",image-0296.png,s,p,36,54,-65,25,32,0,0,16
"0297",image-0297.png,s,p,58,105,105,46,46,0,0,16
"0298",image-0298.png,s,p,62,91,59,48,8,0,0,16
"0299",image-0299.png,s,p,45,57,28,17,35,0,0,16
"0300",image-0300.png,s,p,34,94,19,29,51,0,0,16
"0301",image-0301.png,s,p,33,-17,3,48,61,0,0,16
"0302",image-0302.png,s,p,57,67,46,21,11,0,0,16
"0303",image-0303.png,s,p,61,-87,-52,8,24,0,0,16
"0304",image-0304.png,s,p,46,62,-27,40,18,0,0,16
"0305",image-0305.png,s,p,56,-11,-2,8,22,0,0,16
"0306",image-0306.png,s,p,54,81,24,34,16,0,0,16
"0307",image-0307.png,s,p,60,-93,106,14,67,0,0,16
"0308",image-0308.png,s,p,35,-69,54,38,57,0,0,16
"0309",image-0309.png,s,p,50,78,60,30,40,0,0,16
"0310",image-0310.png,s,p,35,42,-4,37,64,0,0,16
"0311",image-0311.png,s,p,62,93,-48,14,68,0,0,16
"0312",image-0312.png,s,p,57,-119,58,41,10,0,0,16
"0313",image-0313.png,s,p,49,-18,89,43,54,0,0,16
"0314",image-0314.png,s,p,50,-113,29,29,47,0,0,16
"0315",image-0315.png,s,p,50,10,103,7,6,0,0,16
"0316",image-0316.png,s,p,68,0,-72,15,63,0,0,16
"0317",image-0317.png,s,p,66,22,107,25,40,0,0,16
"0318",image-0318.png,s,p,46,87,-80,28,65,0,0,16
"0319",image-0319.png,s,p,63,-101,62,13,46,0,0,16
"0320",image-0320.png,s,p,49,32,-113,14,6,0,0,16
"0321",image-0321.png,s,p,45,24,-49,21,11,0,0,16
"0322",image-0322.png,s,p,51,-38,2,29,35,0,0,16
"0323",image-0323.png,s,p,64,-91,59,39,55,0,0,16
"0324",image-0324.png,s,p,40,-92,-4,34,21,0,0,16
"0325",image-0325.png,s,p,58,9,76,19,64,0,0,16
"0326",image-0326.png,s,p,64,-74,4,37,2,0,0,16
"0327",image-0327.png,s,p,44,-20,-121,7,18,0,0,16
"0328",image-0328.png,s,p,50,6,-46,14,60,0,0,16
"0329",image-0329.png,s,p,42,-18,0,44,67,0,0,16
"0330",image-0330.png,s,p,44,-82,96,7,63,0,0,16
"0331",image-0331.png,s,p,36,-105,87,33,8,0,0,16
"0332",image-0332.png,s,p,62,-106,61,23,32,0,0,16
"0333",image-0333.png,s,p,36,-92,-83,33,55,0,0,16
"0334",image-0334.png,s,p,49,-3,-87,8,42,0,0,16
"0335",image-0335.png,s,p,44,56,-87,47,68,0,0,16
"0336",image-0336.png,s,p,30,97,78,49,55,0,0,16
"0337",image-0337.png,s,p,51,-8,-11,12,15,0,0,16
"0338",image-0338.png,s,p,64,-111,-40,18,21,0,0,16
"0339",image-0339.png,s,p,39,-68,48,32,60,0,0,16
"0340",image-0340.png,s,p,61,-32,-118,25,52,0,0,16
"0341",image-0341.png,s,p,41,22,-114,26,70,0,0,16
"0342",image-0342.png,s,p,36,-112,-105,5,24,0,0,16
"0343",image-0343.png,s,p,37,14,-55,44,30,0,0,16
"0344",image-0344.png,s,p,57,-84,74,8,43,0,0,16
"0345",image-0345.png,s,p,61,86,61,12,12,0,0,16
"0346",image-0346.png,s,p,30,16,26,12,19,0,0,16
"0347",image-0347.png,s,p,40,4,111,8,36,0,0,16
"0348",image-0348.png,s,p,31,64,-1,30,39,0,0,16
"0349",image-0349.png,s,p,44,-112,53,34,62,0,0,16
"0350",image-0350.png,s,p,38,-120,-92,43,53,0,0,16
"0351",image-0351.png,s,p,57,-55,16,37,44,0,0,16
"0352",image-0352.png,s,p,57,-50,-30,16,69,0,0,16
"0353",image-0353.png,s,p,53,40,-11,8,61,0,0,16
"0354",image-0354.png,s,p,65,-19,-38,8,33,0,0,16
"0355",image-0355.png,s,p,46,40,18,5,22,0,0,16
"0356",image-0356.png,s,p,65,7,-54,11,11,0,0,16
"0357",image-0357.png,s,p,32,55,102,49,9,0,0,16
"0358",image-0358.png,s,p,30,122,98,34,53,0,0,16
"0359",image-0359.png,s,p,64,-108,-68,17,30,0,0,16
"0360",image-0360.png,s,p,33,-114,87,10,10,0,0,16
"0361",image-0361.png,s,p,62,72,-79,16,59,0,0,16
"0362",image-0362.png,s,p,51,-109,-78,45,66,0,0,16
"0363",image-0363.png,s,p,47,-9,9,46,48,0,0,16
"0364",image-0364.png,s,p,54,-6,-56,27,53,0,0,16
"0365",image-0365.png,s,p,45,-28,98,23,32,0,0,16
"0366",image-0366.png,s,p,60,-10,-2,30,68,0,0,16
"0367",image-0367.png,s,p,48,-64,-113,25,62,0,0,16
"0368",image-0368.png,s,p,46,87,25,6,53,0,0,16
"0369",image-0369.png,s,p,55,-12,-49,14,46,0,0,16
"0370",image-0370.png,s,p,69,5,110,11,60,0,0,16
"0371",image-0371.png,s,p,31,114,-61,43,57,0,0,16
"0372",image-0372.png,s,p,70,15,-24,9,39,0,0,16
"0373",image-0373.png,s,p,62,-64,-108,6,43,0,0,16
"0374",image-0374.png,s,p,48,107,63,12,1,0,0,16
"0375",image-0375.png,s,p,61,-85,118,36,64,0,0,16
"0376",image-0376.png,s,p,62,61,-103,18,39,0,0,16
"0377",image-0377.png,s,p,38,-82,-98,46,11,0,0,16
"0378",image-0378.png,s,p,64,-37,-13,41,6,0,0,16
"0379",image-0379.png,s,p,30,107,-21,1,28,0,0,16
"0380",image-0380.png,s,p,64,-5,-109,3,6,0,0,16
"0381",image-0381.png,s,p,60,-106,4,37,13,0,0,16
"0382",image-0382.png,s,p,42,82,22,15,4,0,0,16
"0383",image-0383.png,s,p,61,14,84,45,35,0,0,16
"0384",image-0384.png,s,p,62,19,83,21,2,0,0,16
"0385",image-0385.png,s,p,62,-44,56,44,58,0,0,16
"0386",image-0386.png,s,p,70,68,43,33,12,0,0,16
"0387",image-0387.png,s,p,62,-120,3,38,56,0,0,16
"0388",image-0388.png,s,p,67,95,-12,40,8,0,0,16
"0389",image-0389.png,s,p,58,-12,-60,16,35,0,0,16
"0390",image-0390.png,s,p,67,-36,88,44,30,0,0,16
"0391",image-0391.png,s,p,63,-32,116,7,6,0,0,16
"0392",image-0392.png,s,p,57,82,-56,47,46,0,0,16
"0393",image-0393.png,s,p,63,-45,103,32,22,0,0,16
"0394",image-0394.png,s,p,43,99,94,24,70,0,0,16
"0395",image-0395.png,s,p,57,-34,-77,34,39,0,0,16
"0396",image-0396.png,s,p,35,-43,81,9,48,0,0,16
"0397",image-0397.png,s,p,41,97,-76,40,28,0,0,16
"0398",image-0398.png,s,p,67,-61,-54,4,9,0,0,16
"0399",image-0399.png,s,p,58,3,11,44,44,0,0,16
"0400",image-0400.png,s,p,30,104,17,48,61,0,0,16
"0401",image-0401.png,s,p,57,-59,67,6,15,0,0,16
"0402",image-0402.png,s,p,59,1,-115,28,26,0,0,16
"0403",image-0403.png,s,p,41,34,22,1,5,0,0,16
"0404",image-0404.png,s,p,60,-1,-89,21,68,0,0,16
"0405",image-0405.png,s,p,45,-82,34,24,31,0,0,16
"0406",image-0406.png,s,p,63,-13,-106,38,4,0,0,16
"0407",image-0407.png,s,p,35,111,-19,15,42,0,0,16
"0408",image-0408.png,s,p,65,15,53,41,21,0,0,16
"0409",image-0409.png,s,p,30,-98,73,9,54,0,0,16
"0410",image-0410.png,s,p,31,-110,73,10,10,0,0,16
"0411",image-0411.png,s,p,65,2,20,44,23,0,0,16
"0412",image-0412.png,s,p,39,113,90,47,6,0,0,16
"0413",image-0413.png,s,p,61,109,91,26,38,0,0,16
"0414",image-0414.png,s,p,40,87,-43,1,70,0,0,16
"0415",image-0415.png,s,p,43,123,-98,20,2,0,0,16
"0416",image-0416.png,s,p,50,9,-80,15,22,0,0,16
"0417",image-0417.png,s,p,43,-109,-20,1,42,0,0,16
"0418",image-0418.png,s,p,35,-12,68,41,67,0,0,16
"0419",image-0419.png,s,p,64,-110,-87,4,66,0,0,16
"0420",image-0420.png,s,p,56,27,-108,11,2,0,0,16
"0421",image-0421.png,s,p,66,32,102,6,70,0,0,16
"0422",image-0422.png,s,p,49,-75,-60,1,32,0,0,16
"0423",image-0423.png,s,p,38,-105,27,33,54,0,0,16
"0424",image-0424.png,s,p,35,-46,56,35,10,0,0,16
"0425",image-0425.png,s,p,32,57,18,11,20,0,0,16
"0426",image-0426.png,s,p,30,-48,-95,43,47,0,0,16
"0427",image-0427.png,s,p,64,-115,5,4,62,0,0,16
"0428",image-0428.png,s,p,58,49,-38,15,41,0,0,16
"0429",image-0429.png,s,p,30,125,-68,36,44,0,0,16
"0430",image-0430.png,s,p,31,-95,69,41,28,0,0,16
"0431",image-0431.png,s,p,45,89,-27,1,33,0,0,16
"0432",image-0432.png,s,p,46,68,22,43,25,0,0,16
"0433",image-0433.png,s,p,32,-74,76,49,47,0,0,16
"0434",image-0434.png,s,p,52,54,-100,33,1,0,0,16
